AreaCode,Year,LitresPerCapita,RecordStatus
ATG,2006,8.33,Recorded
ATG,2006,0.47,Unrecorded
ATG,2007,8.89,Total
ATG,2007,8.43,Recorded
ATG,2007,0.46,Unrecorded
ATG,2008,8.55,Total
ATG,2008,8.08,Recorded
ATG,2008,0.47,Unrecorded
ATG,2009,8.18,Total
ATG,2009,7.69,Recorded
ATG,2009,0.49,Unrecorded
ATG,2010,7.85,Total
ATG,2010,7.35,Recorded
ATG,2010,0.5,Unrecorded
ATG,2011,8.08,Total
ATG,2011,7.58,Recorded
ATG,2011,0.5,Unrecorded
ATG,2012,8.81,Total
ATG,2012,8.32,Recorded
ATG,2012,0.49,Unrecorded
ATG,2013,9.58,Total
ATG,2013,9.1,Recorded
ATG,2013,0.48,Unrecorded
ATG,2014,9.9,Total
ATG,2014,9.43,Recorded
ATG,2014,0.47,Unrecorded
ATG,2015,10.100000000000001,Total
ATG,2015,9.64,Recorded
ATG,2015,0.46,Unrecorded
ATG,2016,10.58,Total
ATG,2016,10.13,Recorded
ATG,2016,0.45,Unrecorded
ATG,2017,11.29,Total
ATG,2017,10.87,Recorded
ATG,2017,0.42,Unrecorded
ATG,2018,11.65,Total
ATG,2018,11.24,Recorded
ATG,2018,0.41,Unrecorded
ATG,2019,11.65,Total
ATG,2019,11.24,Recorded
ATG,2019,0.41,Unrecorded
ATG,2020,9.12,Total
ATG,2020,8.62,Recorded
ATG,2020,0.5,Unrecorded
ARG,2000,6.6899999999999995,Total
ARG,2000,6.27,Recorded
ARG,2000,0.42,Unrecorded
ARG,2001,6.6899999999999995,Total
ARG,2001,6.27,Recorded
ARG,2001,0.42,Unrecorded
ARG,2002,6.14,Total
ARG,2002,5.72,Recorded
ARG,2002,0.42,Unrecorded
ARG,2003,5.8,Total
ARG,2003,5.39,Recorded
ARG,2003,0.41,Unrecorded
ARG,2004,5.91,Total
ARG,2004,5.5,Recorded
ARG,2004,0.41,Unrecorded
ARG,2005,6.140000000000001,Total
ARG,2005,5.73,Recorded
ARG,2005,0.41,Unrecorded
ARG,2006,6.58,Total
ARG,2006,6.18,Recorded
ARG,2006,0.4,Unrecorded
ARG,2007,6.96,Total
ARG,2007,6.57,Recorded
ARG,2007,0.39,Unrecorded
ARG,2008,7.2299999999999995,Total
ARG,2008,6.84,Recorded
ARG,2008,0.39,Unrecorded
ARG,2009,7.3999999999999995,Total
ARG,2009,7.01,Recorded
ARG,2009,0.39,Unrecorded
ARG,2010,7.64,Total
ARG,2010,7.26,Recorded
ARG,2010,0.38,Unrecorded
ARG,2011,8.06,Total
ARG,2011,7.69,Recorded
ARG,2011,0.37,Unrecorded
ARG,2012,8.35,Total
ARG,2012,7.99,Recorded
ARG,2012,0.36,Unrecorded
ARG,2013,8.42,Total
ARG,2013,8.06,Recorded
ARG,2013,0.36,Unrecorded
ARG,2014,8.58,Total
ARG,2014,8.22,Recorded
ARG,2014,0.36,Unrecorded
ARG,2015,8.52,Total
ARG,2015,8.16,Recorded
ARG,2015,0.36,Unrecorded
ARG,2016,8.549999999999999,Total
ARG,2016,8.2,Recorded
ARG,2016,0.35,Unrecorded
ARG,2017,8.290000000000001,Total
ARG,2017,7.94,Recorded
ARG,2017,0.35,Unrecorded
ARG,2018,7.989999999999999,Total
ARG,2018,7.64,Recorded
ARG,2018,0.35,Unrecorded
ARG,2019,7.989999999999999,Total
ARG,2019,7.64,Recorded
ARG,2019,0.35,Unrecorded
ARG,2020,8.0,Total
ARG,2020,7.64,Recorded
ARG,2020,0.36,Unrecorded
ARM,2000,3.68,Total
