AreaCode,Year,Litres
CHL,1969,9.1
CHL,1970,9.2
CHL,1971,11.6
CHL,1972,12.8
CHL,1973,11.1
CHL,1974,10.0
CHL,1975,8.6
CHL,1976,9.7
CHL,1977,10.3
CHL,1978,9.8
CHL,1979,10.3
CHL,1980,10.2
CHL,1981,9.7
CHL,1982,12.6
CHL,1983,10.0
CHL,1984,10.0
CHL,1985,9.7
CHL,1986,8.9
CHL,1987,9.5
CHL,1988,9.5
CHL,1989,8.7
CHL,1990,8.6
CHL,1991,8.0
CHL,1992,7.8
CHL,1993,7.7
CHL,1994,7.7
CHL,1995,8.3
CHL,1996,7.4
CHL,1997,6.6
CHL,1998,7.3
CHL,1999,7.6
CHL,2000,6.2
CHL,2001,6.2
CHL,2002,5.5
CHL,2003,6.5
CHL,2004,6.8
CHL,2005,7.2
CHL,2006,6.9
CHL,2007,7.4
CHL,2008,7.4
CHL,2009,7.2
CHL,2010,7.6
CHL,2011,7.1
CHL,2012,8.3
CHL,2013,7.2
CHL,2014,7.9
CHL,2015,7.9
CHL,2016,6.4
CHL,2017,5.7
CHL,2018,6.3
CHL,2019,7.1
CHN,1961,0.5
CHN,1962,0.6
CHN,1963,0.6
CHN,1964,0.6
CHN,1965,0.7
CHN,1966,0.8
CHN,1967,0.7
CHN,1968,0.8
CHN,1969,0.8
CHN,1970,0.8
CHN,1971,0.8
CHN,1972,0.9
CHN,1973,1.0
CHN,1974,1.1
CHN,1975,1.2
CHN,1976,1.3
CHN,1977,1.2
CHN,1978,1.2
CHN,1979,1.3
CHN,1980,1.7
CHN,1981,1.9
CHN,1982,2.1
CHN,1983,2.3
CHN,1984,2.4
CHN,1985,2.5
CHN,1986,2.9
CHN,1987,3.3
CHN,1988,3.5
CHN,1989,3.2
CHN,1990,3.3
CHN,1991,3.4
CHN,1992,3.5
CHN,1993,3.8
CHN,1994,4.0
CHN,1995,4.7
CHN,1996,4.5
CHN,1997,4.6
CHN,1998,3.9
CHN,1999,3.6
CHN,2000,3.0
CHN,2001,2.8
CHN,2002,2.9
CHN,2003,2.9
CHN,2004,3.0
CHN,2005,2.9
CHN,2006,3.3
CHN,2007,3.9
CHN,2008,4.3
CHN,2009,4.9
CHN,2010,4.8
CHN,2011,5.4
CHN,2012,5.9
CHN,2013,6.1
CHN,2014,6.2
CHN,2015,6.3
CHN,2016,6.2
CHN,2017,5.5
CHN,2018,4.8
CHN,2019,4.8
CHN,2020,3.7
COL,1961,4.5
COL,1962,4.5
COL,1963,4.7
COL,1964,4.5
COL,1965,4.3
COL,1966,4.0
COL,1967,3.5
COL,1968,3.5
COL,1969,4.0
COL,1970,3.7
COL,1971,3.9
COL,1972,3.9
COL,1973,4.1
COL,1974,4.5
COL,1975,4.2
COL,1976,4.7
COL,1977,4.8
COL,1978,5.0
COL,1979,4.5
COL,1980,6.2
COL,1981,6.3
COL,1982,6.2
COL,1983,6.3
COL,1984,6.2
COL,1985,6.3
COL,1986,6.6
COL,1987,6.8
COL,1988,7.2
COL,1989,7.0
COL,1990,7.0
COL,1991,7.3
COL,1992,6.2
COL,1993,6.7
COL,1994,6.8
COL,1995,7.0
COL,1996,6.7
COL,1997,6.5
COL,1998,6.6
COL,1999,6.3
