AreaCode,Year,BeverageType,Litres
ALB,1972,All,1.56
ALB,1972,Beer,0.52
ALB,1972,Wine,0.23
ALB,1972,Spirits,0.82
ALB,1973,All,1.59
ALB,1973,Beer,0.53
ALB,1973,Wine,0.34
ALB,1973,Spirits,0.72
ALB,1974,All,1.58
ALB,1974,Beer,0.52
ALB,1974,Wine,0.19
ALB,1974,Spirits,0.87
ALB,1975,All,1.35
ALB,1975,Beer,0.52
ALB,1975,Wine,0.14
ALB,1975,Spirits,0.69
ALB,1976,All,1.33
ALB,1976,Beer,0.5
ALB,1976,Wine,0.14
ALB,1976,Spirits,0.69
ALB,1977,All,1.37
ALB,1977,Beer,0.46
ALB,1977,Wine,0.16
ALB,1977,Spirits,0.74
ALB,1978,All,1.65
ALB,1978,Beer,0.5
ALB,1978,Wine,0.3
ALB,1978,Spirits,0.85
ALB,1979,All,1.4
ALB,1979,Beer,0.48
ALB,1979,Wine,0.16
ALB,1979,Spirits,0.76
ALB,1980,All,1.79
ALB,1980,Beer,0.44
ALB,1980,Wine,0.44
ALB,1980,Spirits,0.91
ALB,1981,All,1.84
ALB,1981,Beer,0.46
ALB,1981,Wine,0.4
ALB,1981,Spirits,0.97
ALB,1982,All,1.51
ALB,1982,Beer,0.45
ALB,1982,Wine,0.2
ALB,1982,Spirits,0.86
ALB,1983,All,1.68
ALB,1983,Beer,0.45
ALB,1983,Wine,0.29
ALB,1983,Spirits,0.94
ALB,1984,All,1.58
ALB,1984,Beer,0.43
ALB,1984,Wine,0.25
ALB,1984,Spirits,0.9
ALB,1985,All,1.6
ALB,1985,Beer,0.51
ALB,1985,Wine,0.23
ALB,1985,Spirits,0.86
ALB,1986,All,1.39
ALB,1986,Beer,0.57
ALB,1986,Wine,0.24
ALB,1986,Spirits,0.57
ALB,1987,All,1.63
ALB,1987,Beer,0.58
ALB,1987,Wine,0.41
ALB,1987,Spirits,0.64
ALB,1988,All,1.67
ALB,1988,Beer,0.56
ALB,1988,Wine,0.37
ALB,1988,Spirits,0.74
ALB,1989,All,1.73
ALB,1989,Beer,0.52
ALB,1989,Wine,0.46
ALB,1989,Spirits,0.75
ALB,1990,All,2.03
ALB,1990,Beer,0.42
ALB,1990,Wine,0.65
ALB,1990,Spirits,0.96
ALB,1990,Others,0.0
ALB,1991,All,1.28
ALB,1991,Beer,0.18
ALB,1991,Wine,0.61
ALB,1991,Spirits,0.49
ALB,1991,Others,0.0
ALB,1992,All,1.35
ALB,1992,Beer,0.09
ALB,1992,Wine,0.67
ALB,1992,Spirits,0.6
ALB,1992,Others,0.0
ALB,1993,All,1.49
ALB,1993,Beer,0.52
ALB,1993,Wine,0.66
ALB,1993,Spirits,0.32
ALB,1993,Others,0.0
ALB,1994,All,2.77
ALB,1994,Beer,1.27
ALB,1994,Wine,0.68
ALB,1994,Spirits,0.82
ALB,1994,Others,0.0
ALB,1995,All,2.87
ALB,1995,Beer,1.01
ALB,1995,Wine,1.05
ALB,1995,Spirits,0.81
ALB,1995,Others,0.0
ALB,1996,All,3.12
ALB,1996,Beer,0.59
ALB,1996,Wine,1.37
ALB,1996,Spirits,1.16
ALB,1996,Others,0.0
ALB,1997,All,2.22
ALB,1997,Beer,0.48
ALB,1997,Wine,0.98
ALB,1997,Spirits,0.77
ALB,1997,Others,0.0
ALB,1998,All,1.54
ALB,1998,Beer,0.46
ALB,1998,Wine,0.62
ALB,1998,Spirits,0.42
ALB,1998,Others,0.03
ALB,1999,All,2.19
ALB,1999,Beer,0.83
ALB,1999,Wine,0.76
ALB,1999,Spirits,0.59
ALB,1999,Others,0.0
ALB,2000,All,3.62
ALB,2000,Beer,1.37
ALB,2000,Wine,0.54
ALB,2000,Spirits,1.65
ALB,2000,Others,0.059
ALB,2001,All,3.62
ALB,2001,Beer,1.37
ALB,2001,Wine,0.54
ALB,2001,Spirits,1.65
ALB,2001,Others,0.059
ALB,2002,All,3.75
ALB,2002,Beer,1.41
ALB,2002,Wine,0.59
ALB,2002,Spirits,1.69
ALB,2002,Others,0.066
ALB,2003,All,3.76
ALB,2003,Beer,1.37
ALB,2003,Wine,0.59
ALB,2003,Spirits,1.73
ALB,2003,Others,0.072
ALB,2004,All,4.15
ALB,2004,Beer,1.49
ALB,2004,Wine,0.8
ALB,2004,Spirits,1.78
ALB,2004,Others,0.078
ALB,2005,All,4.46
ALB,2005,Beer,1.6
ALB,2005,Wine,0.94
ALB,2005,Spirits,1.83
ALB,2005,Others,0.086
ALB,2006,All,4.79
ALB,2006,Beer,1.79
ALB,2006,Wine,1.02
ALB,2006,Spirits,1.88
ALB,2006,Others,0.094
ALB,2007,All,4.97
ALB,2007,Beer,1.95
ALB,2007,Wine,1.01
ALB,2007,Spirits,1.91
ALB,2007,Others,0.1
ALB,2008,All,5.17
ALB,2008,Beer,2.09
ALB,2008,Wine,1.03
ALB,2008,Spirits,1.95
ALB,2008,Others,0.11
ALB,2009,All,5.12
ALB,2009,Beer,2.01
ALB,2009,Wine,1.03
ALB,2009,Spirits,1.96
ALB,2009,Others,0.11
ALB,2010,All,5.09
ALB,2010,Beer,1.93
ALB,2010,Wine,1.07
ALB,2010,Spirits,1.98
ALB,2010,Others,0.11
ALB,2011,All,4.78
ALB,2011,Beer,1.64
ALB,2011,Wine,1.09
ALB,2011,Spirits,1.95
ALB,2011,Others,0.099
ALB,2012,All,4.59
ALB,2012,Beer,1.52
ALB,2012,Wine,1.09
ALB,2012,Spirits,1.89
ALB,2012,Others,0.09
ALB,2013,All,4.28
ALB,2013,Beer,1.32
ALB,2013,Wine,1.07
ALB,2013,Spirits,1.81
ALB,2013,Others,0.085
ALB,2014,All,4.25
ALB,2014,Beer,1.37
ALB,2014,Wine,1.07
ALB,2014,Spirits,1.74
ALB,2014,Others,0.081
ALB,2015,All,4.29
ALB,2015,Beer,1.43
ALB,2015,Wine,1.11
ALB,2015,Spirits,1.68
ALB,2015,Others,0.079
ALB,2016,All,4.38
ALB,2016,Beer,1.55
ALB,2016,Wine,1.14
ALB,2016,Spirits,1.62
ALB,2016,Others,0.079
ALB,2017,All,4.4
ALB,2017,Beer,1.64
ALB,2017,Wine,1.13
ALB,2017,Spirits,1.56
ALB,2017,Others,0.079
ALB,2018,All,4.38
ALB,2018,Beer,1.74
ALB,2018,Wine,1.08
ALB,2018,Spirits,1.49
ALB,2018,Others,0.079
ALB,2019,All,4.38
ALB,2019,Beer,1.74
ALB,2019,Wine,1.08
ALB,2019,Spirits,1.49
ALB,2019,Others,0.079
ALB,2020,All,3.78
ALB,2020,Beer,1.53
ALB,2020,Wine,1.03
ALB,2020,Spirits,1.16
ALB,2020,Others,0.062
DZA,1961,All,2.57
DZA,1961,Beer,0.67
DZA,1961,Wine,1.6
DZA,1961,Spirits,0.29
DZA,1962,All,1.77
DZA,1962,Beer,0.51
DZA,1962,Wine,1.14
DZA,1962,Spirits,0.11
DZA,1963,All,1.12
DZA,1963,Beer,0.33
DZA,1963,Wine,0.73
DZA,1963,Spirits,0.07
DZA,1964,All,0.91
DZA,1964,Beer,0.26
DZA,1964,Wine,0.57
DZA,1964,Spirits,0.07
DZA,1965,All,0.93
DZA,1965,Beer,0.27
DZA,1965,Wine,0.58
DZA,1965,Spirits,0.07
DZA,1966,All,0.85
DZA,1966,Beer,0.29
DZA,1966,Wine,0.5
DZA,1966,Spirits,0.05
DZA,1967,All,0.88
DZA,1967,Beer,0.33
DZA,1967,Wine,0.5
DZA,1967,Spirits,0.05
DZA,1968,All,1.32
DZA,1968,Beer,0.34
DZA,1968,Wine,0.82
DZA,1968,Spirits,0.15
DZA,1969,All,1.87
DZA,1969,Beer,0.36
DZA,1969,Wine,1.27
DZA,1969,Spirits,0.23
DZA,1970,All,1.67
DZA,1970,Beer,0.38
DZA,1970,Wine,1.17
DZA,1970,Spirits,0.11
DZA,1971,All,2.12
DZA,1971,Beer,0.38
DZA,1971,Wine,1.61
DZA,1971,Spirits,0.12
DZA,1972,All,2.51
DZA,1972,Beer,0.38
DZA,1972,Wine,2.04
DZA,1972,Spirits,0.06
DZA,1973,All,1.49
DZA,1973,Beer,0.41
DZA,1973,Wine,1.07
DZA,1973,Spirits,0.0
DZA,1974,All,1.56
DZA,1974,Beer,0.35
DZA,1974,Wine,1.12
DZA,1974,Spirits,0.08
DZA,1975,All,1.36
DZA,1975,Beer,0.22
DZA,1975,Wine,1.04
DZA,1975,Spirits,0.09
DZA,1976,All,1.38
DZA,1976,Beer,0.31
DZA,1976,Wine,0.98
DZA,1976,Spirits,0.09
DZA,1977,All,1.05
DZA,1977,Beer,0.31
DZA,1977,Wine,0.67
DZA,1977,Spirits,0.07
DZA,1978,All,0.95
DZA,1978,Beer,0.29
DZA,1978,Wine,0.58
DZA,1978,Spirits,0.07
DZA,1979,All,0.56
DZA,1979,Beer,0.27
DZA,1979,Wine,0.26
DZA,1979,Spirits,0.02
DZA,1980,All,0.48
DZA,1980,Beer,0.27
DZA,1980,Wine,0.19
DZA,1980,Spirits,0.02
DZA,1980,Others,0.0
DZA,1981,All,0.46
DZA,1981,Beer,0.27
DZA,1981,Wine,0.17
DZA,1981,Spirits,0.02
DZA,1981,Others,0.0
DZA,1982,All,0.42
DZA,1982,Beer,0.27
DZA,1982,Wine,0.13
DZA,1982,Spirits,0.02
DZA,1982,Others,0.0
DZA,1983,All,0.33
DZA,1983,Beer,0.19
DZA,1983,Wine,0.13
DZA,1983,Spirits,0.01
DZA,1983,Others,0.0
DZA,1984,All,0.33
DZA,1984,Beer,0.2
DZA,1984,Wine,0.12
DZA,1984,Spirits,0.01
DZA,1984,Others,0.0
DZA,1985,All,0.31
DZA,1985,Beer,0.19
DZA,1985,Wine,0.11
DZA,1985,Spirits,0.01
DZA,1985,Others,0.0
DZA,1986,All,0.29
DZA,1986,Beer,0.18
DZA,1986,Wine,0.1
DZA,1986,Spirits,0.01
DZA,1986,Others,0.0
DZA,1987,All,0.28
DZA,1987,Beer,0.17
DZA,1987,Wine,0.1
DZA,1987,Spirits,0.01
DZA,1987,Others,0.0
DZA,1988,All,0.42
DZA,1988,Beer,0.17
DZA,1988,Wine,0.25
DZA,1988,Spirits,0.01
DZA,1988,Others,0.0
DZA,1989,All,0.4
DZA,1989,Beer,0.16
DZA,1989,Wine,0.23
DZA,1989,Spirits,0.01
DZA,1989,Others,0.0
DZA,1990,All,0.19
DZA,1990,Beer,0.18
