AreaCode,Year,Sex,Litres
BHS,2004,Male,7.37
BHS,2005,Both,4.69
BHS,2005,Female,2.0
BHS,2005,Male,7.59
BHS,2006,Both,4.82
BHS,2006,Female,2.06
BHS,2006,Male,7.81
BHS,2007,Both,4.88
BHS,2007,Female,2.09
BHS,2007,Male,7.91
BHS,2008,Both,4.67
BHS,2008,Female,1.99
BHS,2008,Male,7.58
BHS,2009,Both,4.46
BHS,2009,Female,1.89
BHS,2009,Male,7.25
BHS,2010,Both,4.33
BHS,2010,Female,1.83
BHS,2010,Male,7.04
BHS,2011,Both,4.36
BHS,2011,Female,1.85
BHS,2011,Male,7.1
BHS,2012,Both,4.37
BHS,2012,Female,1.85
BHS,2012,Male,7.12
BHS,2013,Both,4.36
BHS,2013,Female,1.85
BHS,2013,Male,7.12
BHS,2014,Both,4.35
BHS,2014,Female,1.85
BHS,2014,Male,7.11
BHS,2015,Both,4.36
BHS,2015,Female,1.85
BHS,2015,Male,7.13
BHS,2016,Both,4.37
BHS,2016,Female,1.86
BHS,2016,Male,7.15
BHS,2017,Both,4.38
BHS,2017,Female,1.86
BHS,2017,Male,7.17
BHS,2018,Both,4.39
BHS,2018,Female,1.87
BHS,2018,Male,7.2
BHS,2019,Both,4.39
BHS,2019,Female,1.87
BHS,2019,Male,7.2
BHS,2020,Both,3.65
BHS,2020,Female,1.52
BHS,2020,Male,6.03
BHR,2000,Both,2.69
BHR,2000,Female,0.63
BHR,2000,Male,3.96
BHR,2001,Both,2.69
BHR,2001,Female,0.63
BHR,2001,Male,3.96
BHR,2002,Both,2.51
BHR,2002,Female,0.59
BHR,2002,Male,3.69
BHR,2003,Both,2.38
BHR,2003,Female,0.56
BHR,2003,Male,3.5
BHR,2004,Both,2.29
BHR,2004,Female,0.54
BHR,2004,Male,3.35
BHR,2005,Both,2.28
BHR,2005,Female,0.54
BHR,2005,Male,3.3
BHR,2006,Both,2.29
BHR,2006,Female,0.54
BHR,2006,Male,3.29
BHR,2007,Both,2.28
BHR,2007,Female,0.53
BHR,2007,Male,3.26
BHR,2008,Both,2.35
BHR,2008,Female,0.54
BHR,2008,Male,3.34
BHR,2009,Both,2.41
BHR,2009,Female,0.55
BHR,2009,Male,3.42
BHR,2010,Both,2.35
BHR,2010,Female,0.53
BHR,2010,Male,3.33
BHR,2011,Both,2.27
BHR,2011,Female,0.51
BHR,2011,Male,3.21
BHR,2012,Both,2.14
BHR,2012,Female,0.48
BHR,2012,Male,3.03
BHR,2013,Both,2.08
BHR,2013,Female,0.47
BHR,2013,Male,2.95
BHR,2014,Both,2.0
BHR,2014,Female,0.45
BHR,2014,Male,2.84
BHR,2015,Both,1.89
BHR,2015,Female,0.42
BHR,2015,Male,2.7
BHR,2016,Both,1.77
BHR,2016,Female,0.39
BHR,2016,Male,2.51
BHR,2017,Both,1.65
BHR,2017,Female,0.36
BHR,2017,Male,2.33
BHR,2018,Both,1.58
BHR,2018,Female,0.34
BHR,2018,Male,2.23
BHR,2019,Both,1.58
BHR,2019,Female,0.34
BHR,2019,Male,2.23
BHR,2020,Both,1.25
BHR,2020,Female,0.26
BHR,2020,Male,1.78
BGD,2000,Both,0.004
BGD,2000,Female,0.0009
BGD,2000,Male,0.006
BGD,2001,Both,0.004
BGD,2001,Female,0.0009
BGD,2001,Male,0.006
BGD,2002,Both,0.003
BGD,2002,Female,0.0007
BGD,2002,Male,0.005
BGD,2003,Both,0.003
BGD,2003,Female,0.0007
BGD,2003,Male,0.005
BGD,2004,Both,0.002
BGD,2004,Female,0.0006
BGD,2004,Male,0.004
BGD,2005,Both,0.002
BGD,2005,Female,0.0006
BGD,2005,Male,0.004
BGD,2006,Both,0.003
BGD,2006,Female,0.0007
BGD,2006,Male,0.005
BGD,2007,Both,0.004
BGD,2007,Female,0.001
BGD,2007,Male,0.007
BGD,2008,Both,0.004
BGD,2008,Female,0.0009
BGD,2008,Male,0.007
BGD,2009,Both,0.004
BGD,2009,Female,0.0009
BGD,2009,Male,0.006
BGD,2010,Both,0.004
BGD,2010,Female,0.0009
BGD,2010,Male,0.007
BGD,2011,Both,0.004
BGD,2011,Female,0.001
BGD,2011,Male,0.008
BGD,2012,Both,0.005
BGD,2012,Female,0.001
BGD,2012,Male,0.008
BGD,2013,Both,0.005
BGD,2013,Female,0.001
BGD,2013,Male,0.008
BGD,2014,Both,0.005
BGD,2014,Female,0.001
BGD,2014,Male,0.008
BGD,2015,Both,0.005
BGD,2015,Female,0.001
BGD,2015,Male,0.009
BGD,2016,Both,0.005
BGD,2016,Female,0.001
BGD,2016,Male,0.009
BGD,2017,Both,0.005
BGD,2017,Female,0.001
BGD,2017,Male,0.009
BGD,2018,Both,0.005
BGD,2018,Female,0.001
BGD,2018,Male,0.009
BGD,2019,Both,0.005
BGD,2019,Female,0.001
BGD,2019,Male,0.009
BGD,2020,Both,0.092
BGD,2020,Female,0.022
BGD,2020,Male,0.16
BRB,2000,Both,7.02
BRB,2000,Female,2.9
BRB,2000,Male,11.62
BRB,2001,Both,7.02
BRB,2001,Female,2.9
BRB,2001,Male,11.62
BRB,2002,Both,7.02
BRB,2002,Female,2.9
BRB,2002,Male,11.62
BRB,2003,Both,7.16
BRB,2003,Female,2.96
BRB,2003,Male,11.86
BRB,2004,Both,7.42
BRB,2004,Female,3.08
BRB,2004,Male,12.29
BRB,2005,Both,7.8
BRB,2005,Female,3.25
BRB,2005,Male,12.92
BRB,2006,Both,8.02
BRB,2006,Female,3.34
BRB,2006,Male,13.27
BRB,2007,Both,8.3
BRB,2007,Female,3.47
BRB,2007,Male,13.74
BRB,2008,Both,8.33
BRB,2008,Female,3.48
BRB,2008,Male,13.8
BRB,2009,Both,8.41
BRB,2009,Female,3.51
BRB,2009,Male,13.94
BRB,2010,Both,8.27
BRB,2010,Female,3.44
BRB,2010,Male,13.73
BRB,2011,Both,8.35
BRB,2011,Female,3.47
BRB,2011,Male,13.86
BRB,2012,Both,8.48
BRB,2012,Female,3.52
BRB,2012,Male,14.07
BRB,2013,Both,8.64
BRB,2013,Female,3.58
BRB,2013,Male,14.33
BRB,2014,Both,8.85
BRB,2014,Female,3.67
BRB,2014,Male,14.68
BRB,2015,Both,9.18
BRB,2015,Female,3.81
BRB,2015,Male,15.21
BRB,2016,Both,9.4
BRB,2016,Female,3.89
BRB,2016,Male,15.56
BRB,2017,Both,9.49
BRB,2017,Female,3.93
BRB,2017,Male,15.71
BRB,2018,Both,9.47
BRB,2018,Female,3.91
BRB,2018,Male,15.67
BRB,2019,Both,9.47
BRB,2019,Female,3.91
BRB,2019,Male,15.67
BRB,2020,Both,8.22
BRB,2020,Female,3.35
BRB,2020,Male,13.64
BLR,2000,Both,12.63
BLR,2000,Female,5.76
BLR,2000,Male,20.81
BLR,2001,Both,12.63
BLR,2001,Female,5.76
BLR,2001,Male,20.81
BLR,2002,Both,12.07
BLR,2002,Female,5.5
BLR,2002,Male,19.88
BLR,2003,Both,12.49
BLR,2003,Female,5.7
BLR,2003,Male,20.57
BLR,2004,Both,12.32
BLR,2004,Female,5.62
BLR,2004,Male,20.29
BLR,2005,Both,12.79
BLR,2005,Female,5.84
BLR,2005,Male,21.08
BLR,2006,Both,13.4
BLR,2006,Female,6.11
BLR,2006,Male,22.08
BLR,2007,Both,14.48
BLR,2007,Female,6.61
BLR,2007,Male,23.87
BLR,2008,Both,14.91
BLR,2008,Female,6.8
BLR,2008,Male,24.6
BLR,2009,Both,15.05
BLR,2009,Female,6.85
BLR,2009,Male,24.84
BLR,2010,Both,14.99
BLR,2010,Female,6.82
BLR,2010,Male,24.78
BLR,2011,Both,14.82
BLR,2011,Female,6.74
BLR,2011,Male,24.53
BLR,2012,Both,14.22
BLR,2012,Female,6.45
BLR,2012,Male,23.56
BLR,2013,Both,13.18
BLR,2013,Female,5.97
BLR,2013,Male,21.86
BLR,2014,Both,11.96
BLR,2014,Female,5.4
BLR,2014,Male,19.87
BLR,2015,Both,11.04
BLR,2015,Female,4.97
BLR,2015,Male,18.38
BLR,2016,Both,10.55
BLR,2016,Female,4.73
BLR,2016,Male,17.58
BLR,2017,Both,10.64
BLR,2017,Female,4.77
