AreaCode,Year,Sex,LitresPerCapita
ATG,2002,Total,10.27
ATG,2003,Female,5.26
ATG,2003,Male,13.91
ATG,2003,Total,10.07
ATG,2004,Female,5.5
ATG,2004,Male,14.6
ATG,2004,Total,10.55
ATG,2005,Female,5.88
ATG,2005,Male,15.69
ATG,2005,Total,11.29
ATG,2006,Female,6.22
ATG,2006,Male,16.67
ATG,2006,Total,11.96
ATG,2007,Female,6.23
ATG,2007,Male,16.75
ATG,2007,Total,12.0
ATG,2008,Female,6.04
ATG,2008,Male,16.22
ATG,2008,Total,11.64
ATG,2009,Female,5.84
ATG,2009,Male,15.66
ATG,2009,Total,11.27
ATG,2010,Female,5.67
ATG,2010,Male,15.19
ATG,2010,Total,10.96
ATG,2011,Female,5.82
ATG,2011,Male,15.6
ATG,2011,Total,11.26
ATG,2012,Female,6.22
ATG,2012,Male,16.77
ATG,2012,Total,12.09
ATG,2013,Female,6.65
ATG,2013,Male,17.99
ATG,2013,Total,12.95
ATG,2014,Female,6.82
ATG,2014,Male,18.5
ATG,2014,Total,13.31
ATG,2015,Female,6.91
ATG,2015,Male,18.8
ATG,2015,Total,13.52
ATG,2016,Female,7.14
ATG,2016,Male,19.5
ATG,2016,Total,14.01
ATG,2017,Female,7.5
ATG,2017,Male,20.57
ATG,2017,Total,14.75
ATG,2018,Female,7.66
ATG,2018,Male,21.08
ATG,2018,Total,15.09
ATG,2019,Female,7.66
ATG,2019,Male,21.08
ATG,2019,Total,15.09
ATG,2020,Female,6.35
ATG,2020,Male,17.31
ATG,2020,Total,12.54
ARG,2000,Female,5.07
ARG,2000,Male,13.82
ARG,2000,Total,9.79
ARG,2001,Female,5.07
ARG,2001,Male,13.82
ARG,2001,Total,9.79
ARG,2002,Female,4.7
ARG,2002,Male,12.77
ARG,2002,Total,9.07
ARG,2003,Female,4.48
ARG,2003,Male,12.15
ARG,2003,Total,8.64
ARG,2004,Female,4.54
ARG,2004,Male,12.34
ARG,2004,Total,8.77
ARG,2005,Female,4.68
ARG,2005,Male,12.73
ARG,2005,Total,9.04
ARG,2006,Female,4.96
ARG,2006,Male,13.56
ARG,2006,Total,9.61
ARG,2007,Female,5.2
ARG,2007,Male,14.26
ARG,2007,Total,10.09
ARG,2008,Female,5.37
ARG,2008,Male,14.75
ARG,2008,Total,10.42
ARG,2009,Female,5.48
ARG,2009,Male,15.05
ARG,2009,Total,10.63
ARG,2010,Female,5.63
ARG,2010,Male,15.5
ARG,2010,Total,10.94
ARG,2011,Female,5.89
ARG,2011,Male,16.26
ARG,2011,Total,11.46
ARG,2012,Female,6.06
ARG,2012,Male,16.77
ARG,2012,Total,11.81
ARG,2013,Female,6.1
ARG,2013,Male,16.9
ARG,2013,Total,11.9
ARG,2014,Female,6.18
ARG,2014,Male,17.17
ARG,2014,Total,12.08
ARG,2015,Female,6.14
ARG,2015,Male,17.06
ARG,2015,Total,12.0
ARG,2016,Female,6.15
ARG,2016,Male,17.1
ARG,2016,Total,12.03
ARG,2017,Female,5.98
ARG,2017,Male,16.62
ARG,2017,Total,11.7
ARG,2018,Female,5.78
ARG,2018,Male,16.05
ARG,2018,Total,11.31
ARG,2019,Female,5.78
ARG,2019,Male,16.05
ARG,2019,Total,11.31
ARG,2020,Female,5.78
ARG,2020,Male,16.09
ARG,2020,Total,11.34
ARM,2000,Female,4.21
ARM,2000,Male,11.12
ARM,2000,Total,8.11
ARM,2001,Female,4.21
ARM,2001,Male,11.12
ARM,2001,Total,8.11
ARM,2002,Female,4.24
ARM,2002,Male,11.19
ARM,2002,Total,8.15
ARM,2003,Female,4.53
ARM,2003,Male,11.96
ARM,2003,Total,8.68
ARM,2004,Female,4.95
ARM,2004,Male,13.11
ARM,2004,Total,9.48
ARM,2005,Female,5.27
ARM,2005,Male,13.99
ARM,2005,Total,10.08
ARM,2006,Female,5.37
ARM,2006,Male,14.24
ARM,2006,Total,10.23
ARM,2007,Female,5.3
ARM,2007,Male,14.05
ARM,2007,Total,10.08
ARM,2008,Female,5.3
ARM,2008,Male,14.06
ARM,2008,Total,10.07
ARM,2009,Female,5.37
ARM,2009,Male,14.25
ARM,2009,Total,10.19
ARM,2010,Female,5.4
ARM,2010,Male,14.36
ARM,2010,Total,10.26
ARM,2011,Female,5.35
ARM,2011,Male,14.24
ARM,2011,Total,10.16
ARM,2012,Female,5.23
ARM,2012,Male,13.92
ARM,2012,Total,9.92
ARM,2013,Female,5.25
ARM,2013,Male,13.98
ARM,2013,Total,9.96
ARM,2014,Female,5.26
ARM,2014,Male,14.06
ARM,2014,Total,10.0
ARM,2015,Female,5.24
ARM,2015,Male,14.03
ARM,2015,Total,9.97
ARM,2016,Female,5.14
ARM,2016,Male,13.79
ARM,2016,Total,9.79
ARM,2017,Female,5.1
ARM,2017,Male,13.73
ARM,2017,Total,9.73
ARM,2018,Female,5.21
ARM,2018,Male,14.05
ARM,2018,Total,9.93
ARM,2019,Female,5.21
ARM,2019,Male,14.05
ARM,2019,Total,9.93
ARM,2020,Female,4.6
ARM,2020,Male,12.4
ARM,2020,Total,8.78
AUS,2000,Female,6.68
AUS,2000,Male,19.01
AUS,2000,Total,13.23
AUS,2001,Female,6.68
AUS,2001,Male,19.01
AUS,2001,Total,13.23
AUS,2002,Female,6.64
AUS,2002,Male,18.89
AUS,2002,Total,13.14
AUS,2003,Female,6.68
AUS,2003,Male,19.03
AUS,2003,Total,13.23
AUS,2004,Female,6.75
AUS,2004,Male,19.25
AUS,2004,Total,13.38
AUS,2005,Female,6.8
AUS,2005,Male,19.41
AUS,2005,Total,13.48
AUS,2006,Female,6.92
AUS,2006,Male,19.76
AUS,2006,Total,13.72
AUS,2007,Female,6.99
AUS,2007,Male,19.97
AUS,2007,Total,13.86
AUS,2008,Female,7.03
AUS,2008,Male,20.09
AUS,2008,Total,13.94
AUS,2009,Female,7.01
AUS,2009,Male,20.04
AUS,2009,Total,13.92
AUS,2010,Female,6.92
AUS,2010,Male,19.77
AUS,2010,Total,13.73
AUS,2011,Female,6.81
AUS,2011,Male,19.44
AUS,2011,Total,13.5
AUS,2012,Female,6.7
AUS,2012,Male,19.12
AUS,2012,Total,13.28
AUS,2013,Female,6.62
AUS,2013,Male,18.88
AUS,2013,Total,13.12
AUS,2014,Female,6.55
AUS,2014,Male,18.69
AUS,2014,Total,12.98
AUS,2015,Female,6.52
AUS,2015,Male,18.58
AUS,2015,Total,12.9
AUS,2016,Female,6.44
AUS,2016,Male,18.36
AUS,2016,Total,12.75
AUS,2017,Female,6.41
AUS,2017,Male,18.26
AUS,2017,Total,12.67
AUS,2018,Female,6.35
AUS,2018,Male,18.09
AUS,2018,Total,12.55
AUS,2019,Female,6.35
AUS,2019,Male,18.09
AUS,2019,Total,12.55
AUS,2020,Female,6.44
AUS,2020,Male,18.4
AUS,2020,Total,12.76
AUT,2000,Female,8.13
AUT,2000,Male,23.75
AUT,2000,Total,16.3
AUT,2001,Female,8.13
AUT,2001,Male,23.75
AUT,2001,Total,16.3
AUT,2002,Female,7.97
AUT,2002,Male,23.29
AUT,2002,Total,16.0
AUT,2003,Female,7.91
AUT,2003,Male,23.09
AUT,2003,Total,15.87
AUT,2004,Female,7.93
AUT,2004,Male,23.16
AUT,2004,Total,15.92
AUT,2005,Female,7.93
AUT,2005,Male,23.17
AUT,2005,Total,15.93
AUT,2006,Female,7.99
AUT,2006,Male,23.35
AUT,2006,Total,16.05
AUT,2007,Female,7.94
AUT,2007,Male,23.2
AUT,2007,Total,15.95
AUT,2008,Female,7.8
AUT,2008,Male,22.76
AUT,2008,Total,15.66
AUT,2009,Female,7.72
AUT,2009,Male,22.54
AUT,2009,Total,15.51
AUT,2010,Female,7.7
AUT,2010,Male,22.46
AUT,2010,Total,15.46
AUT,2011,Female,7.75
AUT,2011,Male,22.63
AUT,2011,Total,15.57
AUT,2012,Female,7.73
AUT,2012,Male,22.57
AUT,2012,Total,15.53
AUT,2013,Female,7.8
AUT,2013,Male,22.8
AUT,2013,Total,15.68
AUT,2014,Female,7.69
AUT,2014,Male,22.48
AUT,2014,Total,15.48
AUT,2015,Female,7.6
AUT,2015,Male,22.2
AUT,2015,Total,15.31
AUT,2016,Female,7.44
AUT,2016,Male,21.71
AUT,2016,Total,14.99
AUT,2017,Female,7.41
AUT,2017,Male,21.65
AUT,2017,Total,14.94
AUT,2018,Female,7.42
AUT,2018,Male,21.72
AUT,2018,Total,14.98
AUT,2019,Female,7.42
AUT,2019,Male,21.72
AUT,2019,Total,14.98
AUT,2020,Female,7.17
AUT,2020,Male,20.97
AUT,2020,Total,14.49
AZE,2000,Female,5.4
AZE,2000,Male,14.53
AZE,2000,Total,11.55
AZE,2001,Female,5.4
AZE,2001,Male,14.53
AZE,2001,Total,11.55
AZE,2002,Female,5.49
AZE,2002,Male,14.78
AZE,2002,Total,11.76
AZE,2003,Female,5.66
AZE,2003,Male,15.24
AZE,2003,Total,12.13
AZE,2004,Female,5.86
AZE,2004,Male,15.78
AZE,2004,Total,12.56
AZE,2005,Female,6.13
AZE,2005,Male,16.51
AZE,2005,Total,13.15
AZE,2006,Female,6.34
AZE,2006,Male,17.05
AZE,2006,Total,13.59
AZE,2007,Female,6.58
AZE,2007,Male,17.7
AZE,2007,Total,14.11
AZE,2008,Female,6.3
AZE,2008,Male,16.93
AZE,2008,Total,13.51
AZE,2009,Female,6.35
AZE,2009,Male,17.09
AZE,2009,Total,13.64
AZE,2010,Female,5.88
AZE,2010,Male,15.83
AZE,2010,Total,12.65
AZE,2011,Female,5.76
AZE,2011,Male,15.5
AZE,2011,Total,12.39
AZE,2012,Female,4.95
AZE,2012,Male,13.35
AZE,2012,Total,10.69
AZE,2013,Female,4.6
AZE,2013,Male,12.4
AZE,2013,Total,9.94
AZE,2014,Female,4.57
AZE,2014,Male,12.35
AZE,2014,Total,9.9
AZE,2015,Female,4.67
AZE,2015,Male,12.65
AZE,2015,Total,10.15
AZE,2016,Female,4.74
AZE,2016,Male,12.88
AZE,2016,Total,10.34
AZE,2017,Female,5.08
AZE,2017,Male,13.83
AZE,2017,Total,11.11
AZE,2018,Female,6.01
AZE,2018,Male,16.4
AZE,2018,Total,13.16
