AreaCode,Sex,AgeGroup,Percentage
SWE,Female,30_44,33.33333
SWE,Female,45_59,41.6315
SWE,Female,From60,38.472020714534644
SWE,Female,Under30,19.21516
SWE,Male,30_44,44.98681
SWE,Male,45_59,51.93508
SWE,Male,From60,49.54737567545022
SWE,Male,Under30,23.45946
USA,Female,30_44,20.28424
USA,Female,45_59,18.956039999999998
USA,Female,From60,11.940080258807996
USA,Female,Under30,17.3913
USA,Male,30_44,43.740790000000004
USA,Male,45_59,37.55656
USA,Male,From60,30.008986173217643
USA,Male,Under30,28.05164
