AreaCode,PublicPlace,Restriction
CIV,Government offices,Ban
CIV,Educational buildings,Ban
CIV,Leisure events,Voluntary/self-restricted
CIV,Places of worship,Ban
CIV,Workplaces,Ban
CIV,Sporting events,No restrictions
CIV,Parks and streets,No restrictions
CMR,Educational buildings,Ban
CMR,Places of worship,No restrictions
CMR,Government offices,No restrictions
CMR,Healthcare establishments,No restrictions
CMR,Leisure events,No restrictions
CMR,Parks and streets,No restrictions
CMR,Public transport,No restrictions
CMR,Sporting events,No restrictions
CMR,Workplaces,No restrictions
COD,Places of worship,Ban
COD,Workplaces,No restrictions
COD,Sporting events,No restrictions
COD,Public transport,No restrictions
COD,Parks and streets,No restrictions
COD,Leisure events,No restrictions
COD,Government offices,No restrictions
COD,Educational buildings,Ban
COD,Healthcare establishments,Partial restriction
COG,Healthcare establishments,Ban
COG,Government offices,Ban
COG,Public transport,Ban
COG,Places of worship,Ban
COG,Sporting events,Ban
COG,Workplaces,Ban
COG,Leisure events,No restrictions
COG,Parks and streets,No restrictions
COG,Educational buildings,Ban
COK,Healthcare establishments,No data
COK,Workplaces,No data
COK,Sporting events,No data
COK,Places of worship,No data
COK,Leisure events,No data
COK,Educational buildings,No data
COK,Parks and streets,No data
COK,Public transport,No data
COK,Government offices,No data
COL,Government offices,Ban
COL,Sporting events,Partial restriction
COL,Public transport,Ban
COL,Workplaces,Ban
COL,Places of worship,Voluntary/self-restricted
COL,Parks and streets,Partial restriction
COL,Leisure events,Partial restriction
COL,Healthcare establishments,Partial restriction
COL,Educational buildings,Ban
COM,Sporting events,Ban
COM,Workplaces,Ban
COM,Public transport,Ban
COM,Educational buildings,Ban
COM,Government offices,Ban
COM,Places of worship,Ban
COM,Leisure events,Ban
COM,Healthcare establishments,Ban
COM,Parks and streets,Ban
CPV,Educational buildings,Ban
CPV,Healthcare establishments,Ban
CPV,Workplaces,Ban
CPV,Places of worship,Voluntary/self-restricted
CPV,Sporting events,No restrictions
CPV,Public transport,No restrictions
CPV,Parks and streets,No restrictions
CPV,Government offices,Ban
CPV,Leisure events,No restrictions
CRI,Leisure events,Partial restriction
CRI,Parks and streets,Partial restriction
CRI,Sporting events,Ban
CRI,Educational buildings,Ban
CRI,Government offices,Ban
CRI,Healthcare establishments,Ban
CRI,Public transport,Ban
CRI,Places of worship,Ban
CRI,Workplaces,Ban
CUB,Government offices,No data
CUB,Educational buildings,No data
CUB,Sporting events,No data
CUB,Public transport,No data
CUB,Places of worship,No data
CUB,Healthcare establishments,No data
CUB,Workplaces,No data
CUB,Parks and streets,No data
CUB,Leisure events,No data
CYP,Workplaces,Partial restriction
CYP,Sporting events,Partial restriction
CYP,Parks and streets,Partial restriction
CYP,Leisure events,Partial restriction
CYP,Educational buildings,Ban
CYP,Government offices,Ban
CYP,Healthcare establishments,Ban
CYP,Public transport,Ban
CYP,Places of worship,Ban
CZE,Educational buildings,Ban
CZE,Parks and streets,Partial restriction
CZE,Workplaces,Ban
CZE,Healthcare establishments,Ban
CZE,Government offices,Ban
CZE,Public transport,Partial restriction
CZE,Sporting events,Partial restriction
CZE,Places of worship,Voluntary/self-restricted
CZE,Leisure events,Voluntary/self-restricted
DEU,Sporting events,No restrictions
DEU,Public transport,Partial restriction
DEU,Workplaces,Voluntary/self-restricted
DEU,Healthcare establishments,Voluntary/self-restricted
DEU,Government offices,Voluntary/self-restricted
DEU,Places of worship,No restrictions
DEU,Parks and streets,No restrictions
DEU,Leisure events,No restrictions
DEU,Educational buildings,Voluntary/self-restricted
DJI,Workplaces,Ban
DJI,Parks and streets,Ban
DJI,Public transport,Ban
DJI,Places of worship,Ban
DJI,Leisure events,Ban
DJI,Healthcare establishments,Ban
DJI,Sporting events,Ban
DJI,Educational buildings,Ban
DJI,Government offices,Ban
DMA,Public transport,No restrictions
DMA,Leisure events,No restrictions
DMA,Healthcare establishments,No restrictions
DMA,Government offices,No restrictions
DMA,Educational buildings,Ban
DMA,Parks and streets,No restrictions
DMA,Workplaces,No restrictions
DMA,Sporting events,No restrictions
DMA,Places of worship,No restrictions
DNK,Healthcare establishments,No restrictions
DNK,Educational buildings,Voluntary/self-restricted
DNK,Public transport,Partial restriction
DNK,Government offices,Voluntary/self-restricted
DNK,Workplaces,Voluntary/self-restricted
DNK,Parks and streets,No restrictions
DNK,Places of worship,No restrictions
DNK,Sporting events,No restrictions
DNK,Leisure events,No restrictions
DOM,Government offices,No restrictions
DOM,Educational buildings,No restrictions
DOM,Places of worship,Ban
DOM,Public transport,Ban
DOM,Sporting events,No restrictions
DOM,Healthcare establishments,No restrictions
DOM,Workplaces,No restrictions
DOM,Parks and streets,No restrictions
DOM,Leisure events,No restrictions
DZA,Government offices,Ban
DZA,Leisure events,Ban
DZA,Parks and streets,Ban
DZA,Public transport,Ban
DZA,Places of worship,Ban
DZA,Workplaces,Ban
DZA,Sporting events,Ban
DZA,Healthcare establishments,Ban
DZA,Educational buildings,Ban
ECU,Sporting events,Partial restriction
ECU,Workplaces,Ban
ECU,Public transport,Ban
ECU,Parks and streets,Ban
ECU,Leisure events,Ban
ECU,Healthcare establishments,Ban
ECU,Government offices,Ban
ECU,Places of worship,No restrictions
ECU,Educational buildings,Ban
EGY,Sporting events,Ban
EGY,Places of worship,Ban
EGY,Public transport,Ban
EGY,Workplaces,Ban
EGY,Parks and streets,Ban
EGY,Educational buildings,Ban
EGY,Government offices,Ban
EGY,Leisure events,Ban
EGY,Healthcare establishments,Ban
ERI,Places of worship,Ban
ERI,Educational buildings,Ban
ERI,Public transport,Ban
ERI,Leisure events,No restrictions
ERI,Healthcare establishments,Ban
ERI,Government offices,Ban
ERI,Parks and streets,Voluntary/self-restricted
ERI,Sporting events,Ban
ERI,Workplaces,Ban
ESP,Educational buildings,Ban
ESP,Workplaces,Partial restriction
ESP,Parks and streets,Partial restriction
ESP,Leisure events,Partial restriction
ESP,Government offices,Partial restriction
ESP,Places of worship,No restrictions
ESP,Public transport,No restrictions
ESP,Healthcare establishments,Partial restriction
ESP,Sporting events,Ban
EST,Government offices,No restrictions
EST,Workplaces,No restrictions
EST,Sporting events,No restrictions
EST,Educational buildings,Partial restriction
EST,Places of worship,No restrictions
EST,Leisure events,No restrictions
EST,Public transport,Partial restriction
EST,Parks and streets,Ban
EST,Healthcare establishments,Ban
ETH,Healthcare establishments,Ban
ETH,Places of worship,Voluntary/self-restricted
ETH,Workplaces,Ban
ETH,Public transport,Ban
ETH,Leisure events,No restrictions
ETH,Parks and streets,No restrictions
ETH,Sporting events,Ban
ETH,Government offices,Ban
ETH,Educational buildings,Ban
FIN,Workplaces,Voluntary/self-restricted
FIN,Educational buildings,Ban
FIN,Sporting events,Ban
FIN,Places of worship,Ban
FIN,Public transport,Ban
FIN,Leisure events,Ban
FIN,Parks and streets,Partial restriction
FIN,Healthcare establishments,Ban
FIN,Government offices,Ban
FJI,Educational buildings,No data
FJI,Workplaces,No data
FJI,Sporting events,No data
FJI,Places of worship,No data
FJI,Public transport,No data
FJI,Parks and streets,No data
FJI,Leisure events,No data
FJI,Healthcare establishments,No data
FJI,Government offices,No data
FRA,Educational buildings,Ban
FRA,Parks and streets,No restrictions
FRA,Leisure events,No restrictions
FRA,Government offices,No restrictions
FRA,Places of worship,Ban
FRA,Healthcare establishments,Ban
FRA,Workplaces,Partial restriction
FRA,Sporting events,Partial restriction
FRA,Public transport,Partial restriction
FSM,Sporting events,No data
FSM,Places of worship,No data
FSM,Parks and streets,No data
FSM,Leisure events,No data
FSM,Healthcare establishments,No data
FSM,Workplaces,No data
FSM,Educational buildings,No data
FSM,Government offices,No data
FSM,Public transport,No data
GAB,Leisure events,No restrictions
GAB,Workplaces,Ban
GAB,Places of worship,Ban
GAB,Government offices,Ban
GAB,Educational buildings,Ban
GAB,Parks and streets,No restrictions
GAB,Public transport,No restrictions
GAB,Sporting events,Partial restriction
GAB,Healthcare establishments,Ban
GBR,Places of worship,No restrictions
GBR,Government offices,No restrictions
GBR,Workplaces,Voluntary/self-restricted
GBR,Parks and streets,Partial restriction
GBR,Healthcare establishments,Voluntary/self-restricted
GBR,Educational buildings,Voluntary/self-restricted
GBR,Sporting events,Partial restriction
GBR,Public transport,Partial restriction
GBR,Leisure events,Partial restriction
GEO,Places of worship,Ban
GEO,Healthcare establishments,Ban
GEO,Sporting events,Ban
GEO,Workplaces,Ban
GEO,Public transport,Ban
GEO,Leisure events,Ban
GEO,Government offices,Ban
GEO,Educational buildings,Ban
GEO,Parks and streets,Ban
GHA,Parks and streets,No restrictions
GHA,Educational buildings,Voluntary/self-restricted
GHA,Government offices,Voluntary/self-restricted
GHA,Leisure events,No restrictions
GHA,Public transport,Voluntary/self-restricted
GHA,Places of worship,Voluntary/self-restricted
GHA,Sporting events,Voluntary/self-restricted
GHA,Workplaces,Voluntary/self-restricted
GHA,Healthcare establishments,Voluntary/self-restricted
GIN,Workplaces,Ban
GIN,Sporting events,Voluntary/self-restricted
GIN,Places of worship,Partial restriction
GIN,Educational buildings,Ban
GIN,Government offices,Ban
GIN,Healthcare establishments,Ban
GIN,Parks and streets,Ban
GIN,Public transport,Ban
GIN,Leisure events,No restrictions
GMB,Leisure events,Voluntary/self-restricted
GMB,Public transport,Voluntary/self-restricted
GMB,Government offices,Ban
GMB,Places of worship,Voluntary/self-restricted
GMB,Sporting events,Voluntary/self-restricted
GMB,Workplaces,Voluntary/self-restricted
GMB,Parks and streets,No restrictions
GMB,Educational buildings,Ban
GMB,Healthcare establishments,Ban
GNB,Parks and streets,No restrictions
GNB,Leisure events,No restrictions
GNB,Workplaces,Partial restriction
GNB,Sporting events,Partial restriction
GNB,Places of worship,Partial restriction
GNB,Healthcare establishments,Partial restriction
GNB,Government offices,Partial restriction
GNB,Educational buildings,Partial restriction
GNB,Public transport,No restrictions
GNQ,Sporting events,Partial restriction
GNQ,Public transport,Partial restriction
GNQ,Parks and streets,Partial restriction
GNQ,Leisure events,Partial restriction
GNQ,Places of worship,Ban
GNQ,Educational buildings,Ban
GNQ,Government offices,Ban
GNQ,Workplaces,Ban
GNQ,Healthcare establishments,Ban
GRC,Workplaces,Ban
GRC,Parks and streets,No restrictions
GRC,Leisure events,No restrictions
GRC,Educational buildings,Ban
GRC,Government offices,Ban
GRC,Healthcare establishments,Ban
GRC,Public transport,Ban
GRC,Places of worship,Ban
GRC,Sporting events,Ban
GRD,Healthcare establishments,Voluntary/self-restricted
GRD,Leisure events,Voluntary/self-restricted
GRD,Sporting events,Voluntary/self-restricted
GRD,Places of worship,Voluntary/self-restricted
GRD,Parks and streets,Voluntary/self-restricted
GRD,Government offices,Voluntary/self-restricted
GRD,Educational buildings,Voluntary/self-restricted
GRD,Public transport,Voluntary/self-restricted
GRD,Workplaces,Voluntary/self-restricted
GTM,Parks and streets,No data
GTM,Workplaces,No data
GTM,Leisure events,No data
GTM,Public transport,No data
GTM,Healthcare establishments,No data
GTM,Government offices,No data
GTM,Educational buildings,No data
GTM,Places of worship,No data
GTM,Sporting events,No data
GUY,Healthcare establishments,Voluntary/self-restricted
GUY,Government offices,Voluntary/self-restricted
GUY,Educational buildings,Voluntary/self-restricted
GUY,Sporting events,Voluntary/self-restricted
GUY,Parks and streets,Voluntary/self-restricted
GUY,Public transport,Voluntary/self-restricted
GUY,Leisure events,Voluntary/self-restricted
GUY,Workplaces,Partial restriction
GUY,Places of worship,Voluntary/self-restricted
HND,Leisure events,Voluntary/self-restricted
HND,Sporting events,Voluntary/self-restricted
HND,Educational buildings,No restrictions
HND,Healthcare establishments,No restrictions
HND,Government offices,No restrictions
HND,Parks and streets,No restrictions
HND,Public transport,No restrictions
HND,Places of worship,No restrictions
HND,Workplaces,No restrictions
HRV,Public transport,Ban
HRV,Sporting events,Voluntary/self-restricted
HRV,Educational buildings,Ban
HRV,Healthcare establishments,Ban
HRV,Government offices,Partial restriction
HRV,Workplaces,Ban
HRV,Leisure events,Partial restriction
HRV,Parks and streets,Partial restriction
HRV,Places of worship,Partial restriction
HTI,Public transport,No data
HTI,Leisure events,No data
HTI,Parks and streets,No data
HTI,Places of worship,No data
HTI,Healthcare establishments,No data
HTI,Government offices,No data
HTI,Workplaces,No data
HTI,Sporting events,No data
HTI,Educational buildings,No data
HUN,Leisure events,No restrictions
HUN,Public transport,Partial restriction
HUN,Sporting events,Partial restriction
HUN,Parks and streets,Partial restriction
HUN,Places of worship,Voluntary/self-restricted
HUN,Healthcare establishments,Ban
HUN,Government offices,Voluntary/self-restricted
HUN,Educational buildings,Ban
HUN,Workplaces,Ban
IDN,Places of worship,No restrictions
IDN,Healthcare establishments,No restrictions
IDN,Leisure events,No restrictions
IDN,Educational buildings,Ban
IDN,Public transport,Voluntary/self-restricted
IDN,Workplaces,No restrictions
IDN,Parks and streets,No restrictions
IDN,Government offices,Voluntary/self-restricted
IDN,Sporting events,No restrictions
IND,Workplaces,Ban
IND,Sporting events,Ban
IND,Parks and streets,Ban
IND,Healthcare establishments,Ban
IND,Government offices,Ban
IND,Educational buildings,Ban
IND,Places of worship,Ban
IND,Public transport,Ban
IND,Leisure events,Voluntary/self-restricted
IRL,Educational buildings,Partial restriction
IRL,Government offices,Partial restriction
IRL,Healthcare establishments,Partial restriction
IRL,Leisure events,Partial restriction
IRL,Places of worship,Partial restriction
IRL,Sporting events,Partial restriction
IRL,Workplaces,Partial restriction
IRL,Parks and streets,Voluntary/self-restricted
IRL,Public transport,Voluntary/self-restricted
IRN,Healthcare establishments,Ban
IRN,Educational buildings,Ban
IRN,Places of worship,Ban
IRN,Workplaces,Ban
IRN,Sporting events,Ban
IRN,Parks and streets,Ban
IRN,Public transport,Ban
IRN,Government offices,Ban
IRN,Leisure events,Ban
IRQ,Leisure events,Partial restriction
IRQ,Workplaces,Ban
IRQ,Places of worship,Ban
IRQ,Sporting events,Ban
IRQ,Public transport,Ban
IRQ,Parks and streets,Ban
IRQ,Healthcare establishments,Ban
IRQ,Educational buildings,Ban
IRQ,Government offices,Ban
ISL,Leisure events,Voluntary/self-restricted
ISL,Educational buildings,Partial restriction
ISL,Parks and streets,Voluntary/self-restricted
ISL,Sporting events,Voluntary/self-restricted
ISL,Places of worship,Voluntary/self-restricted
ISL,Healthcare establishments,Voluntary/self-restricted
