Category,AreaCode,BeverageType,Tax,Comments
Import Duties,HRV,Beer,0,
Import Duties,HRV,Spirits,0,
Import Duties,HTI,Beer,0,Retail price and tax data collected as of 31 March 2023.
Import Duties,HTI,Spirits,0,Retail price and tax data collected as of 31 March 2023.
Import Duties,HUN,Beer,0,
Import Duties,HUN,Spirits,0,
Import Duties,IDN,Beer,0,
Import Duties,IDN,Spirits,0,
Import Duties,IRL,Beer,0,
Import Duties,IRL,Spirits,0,
Import Duties,IRQ,Beer,2.02,
Import Duties,IRQ,Spirits,0,
Import Duties,ISL,Beer,0,
Import Duties,ISL,Spirits,0,
Import Duties,ITA,Beer,0,
Import Duties,ITA,Spirits,0,
Import Duties,JAM,Beer,0,
Import Duties,JAM,Spirits,0,
Import Duties,JPN,Beer,0,
Import Duties,JPN,Spirits,0,
Import Duties,KAZ,Beer,0,
Import Duties,KAZ,Spirits,0,
Import Duties,KEN,Beer,0,
Import Duties,KEN,Spirits,0,
Import Duties,KGZ,Beer,0,
Import Duties,KGZ,Spirits,0,
Import Duties,KHM,Beer,0,
Import Duties,KIR,Beer,0,
Import Duties,KIR,Spirits,0,
Import Duties,KOR,Beer,0,
Import Duties,KOR,Spirits,0,
Import Duties,LBN,Beer,0,
Import Duties,LBN,Spirits,2.02,
Import Duties,LBR,Beer,0,
Import Duties,LBR,Spirits,0,
Import Duties,LCA,Beer,0,
Import Duties,LCA,Spirits,0,
Import Duties,LKA,Beer,0,
Import Duties,LKA,Spirits,0,
Import Duties,LTU,Beer,0,
Import Duties,LTU,Spirits,0,
Import Duties,LVA,Beer,0,
Import Duties,LVA,Spirits,0,
Import Duties,MAR,Beer,0,
Import Duties,MAR,Spirits,26.49,
Import Duties,MDG,Beer,0,
Import Duties,MDG,Spirits,0,
Import Duties,MEX,Beer,0,
Import Duties,MEX,Spirits,0,
Import Duties,MHL,Beer,7.78,
Import Duties,MHL,Spirits,19.81,
Import Duties,MLI,Beer,5.49,
Import Duties,MMR,Beer,0,
Import Duties,MMR,Spirits,0,
Import Duties,MNG,Beer,0,
Import Duties,MNG,Spirits,0,
Import Duties,MOZ,Beer,0,
Import Duties,MOZ,Spirits,5.69,
Import Duties,MUS,Beer,0,
Import Duties,MUS,Spirits,0,
Import Duties,MWI,Beer,0,
Import Duties,MWI,Spirits,0,
Import Duties,NAM,Beer,0,
Import Duties,NAM,Spirits,0,
Import Duties,NER,Beer,3.93,
Import Duties,NER,Spirits,4.43,
Import Duties,NIC,Beer,0,
Import Duties,NIC,Spirits,0,
Import Duties,NLD,Beer,0,
Import Duties,NLD,Spirits,1.02,
Import Duties,NOR,Beer,0,
Import Duties,NOR,Spirits,0,
Import Duties,NRU,Beer,50.4,
Import Duties,NRU,Spirits,26.51,
Import Duties,PAN,Beer,0,
Import Duties,PAN,Spirits,0,
Import Duties,PER,Beer,0,
Import Duties,PER,Spirits,0,
Import Duties,PHL,Beer,0,
Import Duties,PHL,Spirits,0,
Import Duties,PLW,Beer,0,
Import Duties,PLW,Spirits,0,
Import Duties,PNG,Beer,0,
Import Duties,POL,Beer,0,
Import Duties,POL,Spirits,0,
Import Duties,PRT,Beer,0,
Import Duties,PRT,Spirits,0,
Import Duties,PRY,Beer,0,
Import Duties,PRY,Spirits,0,
Import Duties,ROU,Beer,0,
Import Duties,ROU,Spirits,0,
Import Duties,RWA,Beer,0,
Import Duties,RWA,Spirits,3.93,
Import Duties,SEN,Beer,0,
Import Duties,SEN,Spirits,3.53,
Import Duties,SLE,Beer,0,
Import Duties,SLE,Spirits,15.2,
Import Duties,SLV,Beer,0,
Import Duties,SLV,Spirits,0,
Import Duties,SSD,Beer,0.63,
Import Duties,SSD,Spirits,0.73,
Import Duties,STP,Spirits,33.37,
Import Duties,SUR,Beer,0,
Import Duties,SUR,Spirits,4.57,
Import Duties,SVK,Beer,0,
Import Duties,SVK,Spirits,0,
Import Duties,SVN,Beer,0,
Import Duties,SVN,Spirits,0,
Import Duties,SWE,Beer,0,
Import Duties,SWE,Spirits,0,
Import Duties,SWZ,Beer,0,
Import Duties,SWZ,Spirits,0,
Import Duties,SYC,Beer,0,
Import Duties,SYC,Spirits,0,
Import Duties,TGO,Beer,0,
Import Duties,TGO,Spirits,1.2,
Import Duties,THA,Beer,0,
Import Duties,THA,Spirits,0,
Import Duties,TON,Beer,0,
Import Duties,TON,Spirits,0,Retail price collected as of 31 January 2023.
Import Duties,TUN,Beer,0,
Import Duties,TUN,Spirits,4.45,
Import Duties,TUR,Beer,0,
Import Duties,TUR,Spirits,0,
Import Duties,TUV,Beer,3.3,
Import Duties,TZA,Beer,0,
Import Duties,TZA,Spirits,0,
Import Duties,UGA,Beer,0,
Import Duties,UGA,Spirits,0,
Import Duties,UKR,Beer,0,
Import Duties,UKR,Spirits,0,
Import Duties,URY,Beer,0,
Import Duties,URY,Spirits,0,
Import Duties,UZB,Beer,0,
Import Duties,UZB,Spirits,0,
Import Duties,VCT,Beer,0,
Import Duties,VCT,Spirits,0,
Import Duties,VEN,Beer,0,
Import Duties,VEN,Spirits,0,
Import Duties,VUT,Beer,0,
Import Duties,WSM,Beer,0,
Import Duties,ZAF,Beer,0,
Import Duties,ZAF,Spirits,0,
Import Duties,ZMB,Beer,0,
Import Duties,ZMB,Spirits,1.16,
Import Duties,ZWE,Beer,0,
Import Duties,ZWE,Spirits,14.84,
Others,ALB,Beer,0,
Others,ALB,Spirits,0,
Others,ARG,Beer,0,
Others,ARG,Spirits,0,
Others,ATG,Beer,4.43,
Others,ATG,Spirits,6.69,
Others,AUS,Beer,0,
Others,AUS,Spirits,0,
Others,AUT,Beer,0,
Others,AUT,Spirits,0,
Others,AZE,Beer,0,
Others,AZE,Spirits,0,
Others,BDI,Beer,0,
Others,BDI,Spirits,0,
Others,BEL,Beer,0.57,
Others,BEL,Spirits,0.05,
Others,BEN,Beer,0,
Others,BEN,Spirits,0,
Others,BFA,Beer,0,
Others,BFA,Spirits,0.17,
Others,BGD,Beer,0,
Others,BGD,Spirits,0,
Others,BGR,Beer,0,
Others,BGR,Spirits,0,
Others,BLR,Beer,0,
Others,BLR,Spirits,0,
Others,BLZ,Beer,0,
Others,BLZ,Spirits,0,
Others,BOL,Beer,0,Retail price and tax data collected as of 31 March 2023.
Others,BOL,Spirits,0,Retail price and tax data collected as of 31 March 2023.
Others,BRA,Beer,5.42,1. Retail price and tax data representing only the State of Sao Paulo. 2. Data collected as of 31 October 2022.
Others,BRA,Spirits,5.21,1. Retail price and tax data representing only the State of Sao Paulo. 2. Data collected as of 31 October 2022.
Others,CAF,Beer,0.53,
Others,CAF,Spirits,1,
Others,CAN,Beer,0,Retail price and tax data representing only the Province of Ontario.
Others,CAN,Spirits,0,Retail price and tax data representing only the Province of Ontario.
Others,CHE,Beer,0,
Others,CHE,Spirits,0,
Others,CHL,Spirits,0,
Others,CHN,Beer,1.63,
Others,CHN,Spirits,3.34,
Others,CIV,Beer,0,
