AreaCode,BeverageType,Comments,Currency,InCurrency,InPPP,InUSD
SEN,Beer,,CFA Franc BCEAO,1000.00,4.25,1.55
SEN,Spirits,,CFA Franc BCEAO,9 712.50,41.31,15.10
SLE,Beer,,Leone,15.00,0.00,1.08
SLE,Spirits,,Leone,150.00,0.05,10.81
SLV,Beer,,US Dollar,0.83,1.80,0.83
SLV,Spirits,,US Dollar,5.74,12.42,5.74
SSD,Beer,,South Sudanese Pound,495.00,2.73,0.79
SSD,Spirits,,South Sudanese Pound,6000.00,33.13,9.55
STP,Spirits,,Dobra,417.86,38.81,17.26
SUR,Beer,,Surinam Dollar,25.00,3.35,1.03
SUR,Spirits,,Surinam Dollar,123.21,16.53,5.08
SVK,Beer,,Euro,1.05,2.08,1.07
SVK,Spirits,,Euro,10.17,20.17,10.37
SVN,Beer,,Euro,0.99,1.77,1.01
SVN,Spirits,,Euro,19.90,35.66,20.29
SWE,Beer,,Swedish Krona,9.17,1.05,0.90
SWE,Spirits,,Swedish Krona,217.50,24.91,21.35
SWZ,Beer,,Lilangeni,16.00,2.71,0.97
SWZ,Spirits,,Lilangeni,169.99,28.77,10.29
SYC,Beer,,Seychelles Rupee,35.36,4.63,2.51
SYC,Spirits,,Seychelles Rupee,375.00,49.08,26.67
TGO,Beer,,CFA Franc BCEAO,350.00,1.57,0.54
TGO,Spirits,,CFA Franc BCEAO,2500.00,11.20,3.89
THA,Beer,,Baht,60.84,5.20,1.65
THA,Spirits,,Baht,144.00,12.30,3.91
TON,Beer,,Pa'anga,3.50,2.05,1.50
TON,Spirits,Retail price collected as of 31 January 2023.,Pa'anga,15.00,8.79,6.42
TUN,Beer,,Tunisian Dinar,2.75,2.89,0.87
TUN,Spirits,,Tunisian Dinar,93.71,98.44,29.80
TUR,Beer,,Turkish Lira,20.13,4.75,1.12
TUR,Spirits,,Turkish Lira,351.75,83.08,19.64
TUV,Beer,,Australian Dollar,2.75,1.91,1.93
TZA,Beer,,Tanzanian Shilling,2000.00,2.34,0.87
TZA,Spirits,,Tanzanian Shilling,9000.00,10.54,3.91
UGA,Beer,,Uganda Shilling,3850.00,2.97,1.00
UGA,Spirits,,Uganda Shilling,22 000.00,16.95,5.70
UKR,Beer,,Hryvnia,17.58,,
UKR,Spirits,,Hryvnia,177.63,,
URY,Beer,,Peso Uruguayo,45.62,1.48,1.11
URY,Spirits,,Peso Uruguayo,367.50,11.92,8.98
UZB,Beer,,Uzbekistan Sum,4620.00,1.78,0.42
UZB,Spirits,,Uzbekistan Sum,46 500.00,17.96,4.26
VCT,Beer,,East Caribbean Dollar,6.00,4.10,2.22
VCT,Spirits,,East Caribbean Dollar,49.29,33.71,18.25
VEN,Beer,,Bolívar Soberano,6.00,1.70,1.05
VEN,Spirits,,Bolívar Soberano,20.25,5.75,3.54
VUT,Beer,,Vatu,240.00,1.98,2.09
WSM,Beer,,Tala,3.50,1.91,1.30
ZAF,Beer,,Rand,7.26,1.04,0.44
ZAF,Spirits,,Rand,170.00,24.37,10.29
ZMB,Beer,,Zambian Kwacha,15.00,2.46,0.92
ZMB,Spirits,,Zambian Kwacha,429.00,70.47,26.20
ZWE,Beer,,Zimbabwe Dollar,471.43,1.32,1.06
ZWE,Spirits,,Zimbabwe Dollar,11 215.00,31.45,25.27
