Cause,AreaCode,Sex,Deaths,LitresPerCapita,Population
PercentLiverCirrhosis,COG,Male,60.4,10.13,1621.416
PercentLiverCirrhosis,CRI,Both,37.37,3.45,3943.185
PercentLiverCirrhosis,CRI,Female,29.64,1.3,2008.435
PercentLiverCirrhosis,CRI,Male,40.75,5.62,1934.749
PercentLiverCirrhosis,CIV,Both,38.22,2.8,16267.972
PercentLiverCirrhosis,CIV,Female,26.26,0.95,7921.0560000000005
PercentLiverCirrhosis,CIV,Male,42.46,4.61,8346.914
PercentLiverCirrhosis,HRV,Both,65.91,8.54,3406.9249999999997
PercentLiverCirrhosis,HRV,Female,53.75,3.68,1784.931
PercentLiverCirrhosis,HRV,Male,69.62,13.79,1621.992
PercentLiverCirrhosis,CUB,Both,56.18,6.01,9415.823
PercentLiverCirrhosis,CUB,Female,39.27,2.34,4788.602
PercentLiverCirrhosis,CUB,Male,59.89,9.77,4627.215
PercentLiverCirrhosis,CYP,Both,61.3,8.05,1081.727
PercentLiverCirrhosis,CYP,Female,49.8,3.43,538.357
PercentLiverCirrhosis,CYP,Male,65.57,12.7,543.37
PercentLiverCirrhosis,CZE,Both,74.44,13.29,8875.45
PercentLiverCirrhosis,CZE,Female,65.5,5.84,4534.5779999999995
PercentLiverCirrhosis,CZE,Male,78.73,21.09,4340.874
PercentLiverCirrhosis,PRK,Both,40.59,4.29,21059.593
PercentLiverCirrhosis,PRK,Female,33.94,1.73,10782.187
PercentLiverCirrhosis,PRK,Male,44.55,6.97,10277.405
PercentLiverCirrhosis,COD,Both,27.37,2.12,50212.340000000004
PercentLiverCirrhosis,COD,Female,26.42,0.86,25499.989
PercentLiverCirrhosis,COD,Male,27.65,3.41,24712.349000000002
PercentLiverCirrhosis,DNK,Both,65.98,9.4,4859.357
PercentLiverCirrhosis,DNK,Female,58.01,4.29,2456.513
PercentLiverCirrhosis,DNK,Male,69.97,14.64,2402.841
PercentLiverCirrhosis,DJI,Both,12.57,0.4,744.945
PercentLiverCirrhosis,DJI,Female,9.8,0.098,378.505
PercentLiverCirrhosis,DJI,Male,13.94,0.72,366.444
PercentLiverCirrhosis,DOM,Both,53.03,6.76,7849.813
PercentLiverCirrhosis,DOM,Female,41.76,2.82,3975.894
PercentLiverCirrhosis,DOM,Male,60.13,10.7,3873.92
PercentLiverCirrhosis,ECU,Both,33.2,3.26,12682.634
PercentLiverCirrhosis,ECU,Female,32.85,1.49,6397.755
PercentLiverCirrhosis,ECU,Male,33.43,5.05,6284.8769999999995
PercentLiverCirrhosis,EGY,Both,10.36,0.15,71262.459
PercentLiverCirrhosis,EGY,Female,9.42,0.035,35528.111
PercentLiverCirrhosis,EGY,Male,11.11,0.26,35734.354
PercentLiverCirrhosis,SLV,Both,39.37,3.28,4562.525
PercentLiverCirrhosis,SLV,Female,27.95,1.32,2459.448
PercentLiverCirrhosis,SLV,Male,45.48,5.56,2103.08
PercentLiverCirrhosis,GNQ,Both,56.34,6.94,1035.758
PercentLiverCirrhosis,GNQ,Female,50.0,2.79,470.72499999999997
PercentLiverCirrhosis,GNQ,Male,61.75,10.42,565.032
PercentLiverCirrhosis,ERI,Both,22.39,1.23,1912.005
PercentLiverCirrhosis,ERI,Female,16.43,0.37,985.537
PercentLiverCirrhosis,ERI,Male,25.98,2.15,926.465
PercentLiverCirrhosis,EST,Both,54.48,11.26,1108.758
PercentLiverCirrhosis,EST,Female,61.98,5.11,593.409
PercentLiverCirrhosis,EST,Male,51.18,18.4,515.352
PercentLiverCirrhosis,SWZ,Both,64.31,8.09,765.533
PercentLiverCirrhosis,SWZ,Female,41.83,2.73,394.882
PercentLiverCirrhosis,SWZ,Male,70.72,13.66,370.654
PercentLiverCirrhosis,ETH,Both,41.76,3.36,68446.215
PercentLiverCirrhosis,ETH,Female,24.23,1.04,34495.164
PercentLiverCirrhosis,ETH,Male,51.01,5.71,33951.051
PercentLiverCirrhosis,FJI,Both,43.13,3.45,653.037
PercentLiverCirrhosis,FJI,Female,29.65,1.16,330.192
PercentLiverCirrhosis,FJI,Male,50.44,5.74,322.844
PercentLiverCirrhosis,FIN,Both,66.13,9.16,4645.117
PercentLiverCirrhosis,FIN,Female,57.91,4.14,2367.511
PercentLiverCirrhosis,FIN,Male,69.72,14.38,2277.611
PercentLiverCirrhosis,FRA,Both,71.23,11.3,54155.325
PercentLiverCirrhosis,FRA,Female,61.29,5.14,28246.936999999998
PercentLiverCirrhosis,FRA,Male,74.92,18.04,25908.388
PercentLiverCirrhosis,GAB,Both,57.66,7.33,1433.743
PercentLiverCirrhosis,GAB,Female,42.9,2.94,696.992
PercentLiverCirrhosis,GAB,Male,62.82,11.46,736.749
PercentLiverCirrhosis,GMB,Both,17.61,1.11,1414.539
PercentLiverCirrhosis,GMB,Female,16.54,0.34,718.414
PercentLiverCirrhosis,GMB,Male,18.27,1.91,696.129
PercentLiverCirrhosis,GEO,Both,76.36,14.33,3006.884
PercentLiverCirrhosis,GEO,Female,60.03,5.86,1645.649
PercentLiverCirrhosis,GEO,Male,81.38,24.31,1361.239
PercentLiverCirrhosis,DEU,Both,71.87,12.22,72142.83
PercentLiverCirrhosis,DEU,Female,62.66,5.49,36746.308
PercentLiverCirrhosis,DEU,Male,75.9,19.22,35396.523
PercentLiverCirrhosis,GHA,Both,48.06,4.55,19520.811
PercentLiverCirrhosis,GHA,Female,35.39,1.75,9837.911
PercentLiverCirrhosis,GHA,Male,53.17,7.41,9682.899
PercentLiverCirrhosis,GRC,Both,58.11,7.12,9186.284
PercentLiverCirrhosis,GRC,Female,49.03,3.12,4784.479
PercentLiverCirrhosis,GRC,Male,61.37,11.34,4401.804
PercentLiverCirrhosis,GRD,Both,61.87,8.06,91.383
PercentLiverCirrhosis,GRD,Female,43.96,3.31,45.507999999999996
PercentLiverCirrhosis,GRD,Male,65.73,12.84,45.877
PercentLiverCirrhosis,GTM,Both,24.08,1.63,11228.55
PercentLiverCirrhosis,GTM,Female,22.23,0.63,5716.077
PercentLiverCirrhosis,GTM,Male,24.99,2.67,5512.472
PercentLiverCirrhosis,GIN,Both,14.13,0.47,7507.003
PercentLiverCirrhosis,GIN,Female,12.01,0.13,3888.5519999999997
PercentLiverCirrhosis,GIN,Male,15.73,0.83,3618.45
PercentLiverCirrhosis,GNB,Both,44.6,4.14,1162.339
PercentLiverCirrhosis,GNB,Female,29.72,1.4,599.495
PercentLiverCirrhosis,GNB,Male,53.94,7.07,562.849
PercentLiverCirrhosis,GUY,Both,54.38,5.35,571.391
PercentLiverCirrhosis,GUY,Female,42.17,2.19,294.975
PercentLiverCirrhosis,GUY,Male,58.44,8.71,276.414
